EVTNAME989898;God save the king?;x
EVTDESC989898;A local noble is requesting to become an honorary king of your country.;x
EVTOPTA989898;Looks like we have no choice.
release_vassals_title;即Manage Vassals;;;;;;;;;;;;;;;;;;;;;;;x
release_vassals_desc;Trigger an event that lets you free all your vassals.;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME91306;Manage Vassals;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC91306;Choose to release all vassals or do nothing.;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA91306;Free vassals.;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTB91306;Do nothing.;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME91307;Freedom!;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC91307;Our overlord has granted us freedom from their vassalage.;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA91307;Huzzah!;;;;;;;;;;;;;;;;;;;;;;;x
recently_requested_trade;Requesting Trade Deal;;;;;;;;;;;;;x
recently_requested_trade_desc;We have sent out offers of trade to the world, now we must wait for a response.;;;;;;;;;;;;;x
choose_trade_good_title;即Choose Goods to Send;;;;;;;;;;;;;x
choose_trade_good_desc;You must have the 即"Allow pops/factories to buy from stockpile"劬 button turned 刪OFF劬 while sending goods. Your trading partner must have this button turned 佈ON劬, and should not manually buy or sell goods while it is turned on or they risk crashing the world market. Only one country in the trade agreement should send goods at a time.;;;;;;;;;;;;;x
request_trade_deal_title;即Request Trade Deal;;;;;;;;;;;;;x
request_trade_deal_desc;We can request to set up a trading deal with another human controlled country. When two countries enter into a trading deal, a decision will appear for both countries that will allow them to send goods to each other directly from their stockpile. You can only have one trading partner at one time, and there can only be 15 trading agreements globally at any time.;;;;;;;;;;;;;x
accept_trade_deal_1_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_1_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_2_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_2_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_3_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_3_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_4_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_4_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_5_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_5_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_6_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_6_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_7_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_7_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_8_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_8_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_9_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_9_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_10_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_10_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_11_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_11_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_12_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_12_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_13_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_13_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_14_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_14_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_15_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_15_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_16_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_16_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_17_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_17_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_18_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_18_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_19_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_19_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_20_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_20_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_21_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_21_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_22_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_22_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
